MARZO,B. PASIVO,14. Provision a,2110-0000-0000-00  Cuentas por pagar a corto plazo,2170-0000-0000-00  Provisión a Corto Plazo,2171-0001-0000-00,-2403495.38,-1960638.62,14967187.37,-19331321.37
JUNIO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-2011-00,0,-949396.18,0,-949396.18
SEPTIEMBRE,E. EGRESOS,"27. Transferencias, ayudas y subsidios",5240-0000-0000-00  Ayudas Sociales,5243-0000-0000-00  Ayudas Sociales a Instituciones sin fines de lucro,5243-4451-1301-06,316778800,-750000,0,316028800
MARZO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0402-00,0,-623729.68,729510.48,-1353240.16
SEPTIEMBRE,E. EGRESOS,26. Servicios Generales,5130-0000-0000-00  Servicios Generales,5138-0000-0000-00  Servicios Oficiales,5138-3831-2103-06,12951649.73,-473401.82,0,12478247.91
NOVIEMBRE,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-2200-00,0,-170520,0,-170520
SEPTIEMBRE,E. EGRESOS,24. Servicios personales,5110-0000-0000-00  Servicios Personales,5115-0000-0000-00  Otras Prestaciones Sociales y Económicas,5115-1714-1301-06,2079277.74,-73997.56,0,2005280.18
MARZO,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-1601-00,0,-71647.4,0,-71647.4
NOVIEMBRE,B. PASIVO,10. Proveedores,2110-0000-0000-00  Cuentas por pagar a corto plazo,2112-0000-0000-00  Proveedores por Pagar a Corto Plazo,2112-0002-0111-00,0,-58000,0,-58000
NOVIEMBRE,B. PASIVO,13. Remuneraciones por pagar,2110-0000-0000-00  Cuentas por pagar a corto plazo,2111-0000-0000-00  Servicios personales a Pagar a Corto Plazo,2111-2031-0000-00,-94000,-48000,0,-142000
